TEMPO_VIVE_NA_RUA;CONTATO_PARENTE_FORA_RUAS;DATA_NASCIMENTO;IDADE;SEXO;AUXILIO_BRASIL;POP_RUA;GRAU_INSTRUCAO;COR_RACA;Faixa da renda familiar per capita;VAL_REMUNERACAO_MES_PASSADO;CRAS;REGIONAL;FAIXA_DESATUALICACAO_CADASTRAL;MES_ANO_REFERENCIA
Ate seis meses;Quase nunca;28/05/1987;34;MASCULINO;SIM;SIM;Medio completo;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;NORDESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Todo mes;08/06/1971;50;MASCULINO;SIM;SIM;Fundamental incompleto;Branca;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;19/07/1998;23;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Mais de dez anos;Nunca;15/07/1968;53;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;OESTE;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Todo mes;20/05/1991;30;MASCULINO;SIM;SIM;Fundamental completo;Preta;Ate R$105.00;0;CRAS VILA SENHOR DOS PASSOS;NOROESTE;ate 12 Meses;01/03/2022
Entre seis meses e um ano;Quase nunca;09/05/1991;30;MASCULINO;SIM;SIM;Medio incompleto;Parda;Ate R$105.00;0;CRAS VILA BIQUINHAS;NORTE;ate 12 Meses;01/03/2022
Ate seis meses;Nunca;18/01/1979;43;MASCULINO;SIM;SIM;Sem instrucao;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Entre cinco e dez anos;Nunca;23/08/1983;38;MASCULINO;SIM;SIM;Fundamental incompleto;Preta;Ate R$105.00;0;CRAS MARIANO DE ABREU;LESTE;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Toda semana;08/11/1959;62;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Entre dois e cinco anos;Nunca;18/04/1967;54;MASCULINO;SIM;SIM;Sem instrucao;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;CENTRO SUL;ate 12 Meses;01/03/2022
Ate seis meses;Quase nunca;18/12/1995;26;MASCULINO;SIM;SIM;Medio incompleto;Preta;Ate R$105.00;0;ENDERECO FORA AREA CRAS;LESTE;ate 12 Meses;01/03/2022
Mais de dez anos;Quase nunca;28/10/1967;54;MASCULINO;SIM;SIM;Fundamental incompleto;Parda;Ate R$105.00;0;ENDERECO FORA AREA CRAS;PAMPULHA;ate 12 Meses;01/03/2022
